County Name,Population,countyFIPS
LaSalle Parish,14892,22059
Lincoln Parish,46742,22061
Livingston Parish,140789,22063
Madison Parish,10951,22065
Morehouse Parish,24874,22067
Natchitoches Parish,38158,22069
Orleans Parish,390144,22071
Ouachita Parish,153279,22073
Plaquemines Parish,23197,22075
Pointe Coupee Parish,21730,22077
Rapides Parish,129648,22079
Red River Parish,8442,22081
Richland Parish,20122,22083
Sabine Parish,23884,22085
St. Bernard Parish,47244,22087
St. Charles Parish,53100,22089
St. Helena Parish,10132,22091
St. James Parish,21096,22093
St. John the Baptist Parish,42837,22095
St. Landry Parish,82124,22097
St. Martin Parish,53431,22099
St. Mary Parish,49348,22101
St. Tammany Parish,260419,22103
Tangipahoa Parish,134758,22105
Tensas Parish,4334,22107
Terrebonne Parish,110461,22109
Union Parish,22108,22111
Vermilion Parish,59511,22113
Vernon Parish,47429,22115
Washington Parish,46194,22117
Webster Parish,38340,22119
West Baton Rouge Parish,26465,22121
West Carroll Parish,10830,22123
West Feliciana Parish,15568,22125
Winn Parish,13904,22127
Androscoggin ,108277,23001
Aroostook ,67055,23003
Cumberland ,295003,23005
Franklin ,30199,23007
Hancock ,54987,23009
Kennebec ,122302,23011
Knox ,39772,23013
Lincoln ,34634,23015
Oxford ,57975,23017
Penobscot ,152148,23019
Piscataquis ,16785,23021
Sagadahoc ,35856,23023
Somerset ,50484,23025
Waldo ,39715,23027
Washington ,31379,23029
York ,207641,23031
Allegany ,70416,24001
Anne Arundel ,579234,24003
Baltimore ,827370,24005
Calvert ,92525,24009
Caroline ,33406,24011
Carroll ,168447,24013
Cecil ,102855,24015
Charles ,163257,24017
Dorchester ,31929,24019
Frederick ,259547,24021
Garrett ,29014,24023
Harford ,255441,24025
Howard ,325690,24027
Kent ,19422,24029
Montgomery ,1050688,24031
Prince George's ,909327,24033
Queen Anne's ,50381,24035
St,113510,24037
Somerset ,25616,24039
Talbot ,37181,24041
Washington ,151049,24043
Wicomico ,103609,24045
Worcester ,52276,24047
Baltimore city,593490,24510
Barnstable ,212990,25001
Berkshire ,124944,25003
Bristol ,565217,25005
Dukes ,17332,25007
Essex ,789034,25009
Franklin ,70180,25011
Hampden ,466372,25013
Hampshire ,160830,25015
Middlesex ,1611699,25017
Nantucket ,11399,25019
Norfolk ,706775,25021
Plymouth ,521202,25023
Suffolk ,803907,25025
Worcester ,830622,25027
Alcona ,10405,26001
Alger ,9108,26003
Allegan ,118081,26005
Alpena ,28405,26007
Antrim ,23324,26009
Arenac ,14883,26011
Baraga ,8209,26013
Barry ,61550,26015
Bay ,103126,26017
Benzie ,17766,26019
Berrien ,153401,26021
Branch ,43517,26023
Calhoun ,134159,26025
Cass ,51787,26027
Charlevoix ,26143,26029
Cheboygan ,25276,26031
Chippewa ,37349,26033
Clare ,30950,26035
Clinton ,79595,26037
Crawford ,14029,26039
Delta ,35784,26041
Dickinson ,25239,26043
Eaton ,110268,26045
Emmet ,33415,26047
Genesee ,405813,26049
Gladwin ,25449,26051
Gogebic ,13975,26053
Grand Traverse ,93088,26055
Gratiot ,40711,26057
Hillsdale ,45605,26059
Houghton ,35684,26061
Huron ,30981,26063
Ingham ,292406,26065
Ionia ,64697,26067
Iosco ,25127,26069
Iron ,11066,26071
Isabella ,69872,26073
Jackson ,158510,26075
Kalamazoo ,265066,26077
Kalkaska ,18038,26079
Kent ,656955,26081
Keweenaw ,2116,26083
Lake ,11853,26085
Lapeer ,87607,26087
Leelanau ,21761,26089
Lenawee ,98451,26091
Livingston ,191995,26093
Luce ,6229,26095
Mackinac ,10799,26097
Macomb ,873972,26099
Manistee ,24558,26101
Marquette ,66699,26103
Mason ,29144,26105
Mecosta ,43453,26107
Menominee ,22780,26109
Midland ,83156,26111
Missaukee ,15118,26113
Monroe ,150500,26115
Montcalm ,63888,26117
Montmorency ,9328,26119
Muskegon ,173566,26121
Newaygo ,48980,26123
Oakland ,1257584,26125
Oceana ,26467,26127
Ogemaw ,20997,26129
Ontonagon ,5720,26131
Osceola ,23460,26133
Oscoda ,8241,26135
Otsego ,24668,26137
Ottawa ,291830,26139
Presque Isle ,12592,26141
Roscommon ,24019,26143
Saginaw ,190539,26145
St,159128,26147
St,60964,26149
Sanilac ,41170,26151
Schoolcraft ,8094,26153
Shiawassee ,68122,26155
Tuscola ,52245,26157
Van Buren ,75677,26159
Washtenaw ,367601,26161
Wayne ,1749343,26163
Wexford ,33631,26165
Aitkin ,15886,27001
Anoka ,356921,27003
Becker ,34423,27005
Beltrami ,47188,27007
Benton ,40889,27009
Big Stone ,4991,27011
Blue Earth ,67653,27013
Brown ,25008,27015
Carlton ,35871,27017
Carver ,105089,27019
Cass ,29779,27021
Chippewa ,11800,27023
Chisago ,56579,27025
Clay ,64222,27027
Clearwater ,8818,27029
Cook ,5463,27031
Cottonwood ,11196,27033
Crow Wing ,65055,27035
Dakota ,429021,27037
Dodge ,20934,27039
Douglas ,38141,27041
Faribault ,13653,27043
Fillmore ,21067,27045
Freeborn ,30281,27047
Goodhue ,46340,27049
Grant ,5972,27051
Hennepin ,1265843,27053
Houston ,18600,27055
Hubbard ,21491,27057
Isanti ,40596,27059
Itasca ,45130,27061
Jackson ,9846,27063
Kanabec ,16337,27065
Kandiyohi ,43199,27067
Kittson ,4298,27069
Koochiching ,12229,27071
Lac qui Parle ,6623,27073
Lake ,10641,27075
Lake of the Woods ,3740,27077
Le Sueur ,28887,27079
Lincoln ,5639,27081
Lyon ,25474,27083
McLeod ,35893,27085
Mahnomen ,5527,27087
Marshall ,9336,27089
Martin ,19683,27091
Meeker ,23222,27093
Mille Lacs ,26277,27095
Morrison ,33386,27097
Mower ,40062,27099
Murray ,8194,27101
Nicollet ,34274,27103
Nobles ,21629,27105
Norman ,6375,27107
Olmsted ,158293,27109
Otter Tail ,58746,27111
Pennington ,14119,27113
Pine ,29579,27115
Pipestone ,9126,27117
Polk ,31364,27119
Pope ,11249,27121
Ramsey ,550321,27123
Red Lake ,4055,27125
Redwood ,15170,27127
Renville ,14548,27129
Rice ,66972,27131
Rock ,9315,27133
Roseau ,15165,27135
St,199070,27137
Scott ,149013,27139
Sherburne ,97238,27141
Sibley ,14865,27143
Stearns ,161075,27145
Steele ,36649,27147
Stevens ,9805,27149
Swift ,9266,27151
Todd ,24664,27153
Traverse ,3259,27155
Wabasha ,21627,27157
Wadena ,13682,27159
Waseca ,18612,27161
Washington ,262440,27163
Watonwan ,10897,27165
Wilkin ,6207,27167
Winona ,50484,27169
Wright ,138377,27171
Yellow Medicine ,9709,27173
Adams ,30693,28001
Alcorn ,36953,28003
Amite ,12297,28005
Attala ,18174,28007
Benton ,8259,28009
Bolivar ,30628,28011
Calhoun ,14361,28013
Carroll ,9947,28015
Chickasaw ,17103,28017
Choctaw ,8210,28019
Claiborne ,8988,28021
Clarke ,15541,28023
Clay ,19316,28025
Coahoma ,22124,28027
Copiah ,28065,28029
Covington ,18636,28031
DeSoto ,184945,28033
Forrest ,74897,28035
Franklin ,7713,28037
George ,24500,28039
Greene ,13586,28041
Grenada ,20758,28043
Hancock ,47632,28045
Harrison ,208080,28047
Hinds ,231840,28049
Holmes ,17010,28051
Humphreys ,8064,28053
Issaquena ,1327,28055
Itawamba ,23390,28057
Jackson ,143617,28059
Jasper ,16383,28061
Jefferson ,6990,28063
Jefferson Davis ,11128,28065
Jones ,68098,28067
Kemper ,9742,28069
Lafayette ,54019,28071
Lamar ,63343,28073
Lauderdale ,74125,28075
Lawrence ,12586,28077
Leake ,22786,28079
Lee ,85436,28081
Leflore ,28183,28083
Lincoln ,34153,28085
Lowndes ,58595,28087
Madison ,106272,28089
Marion ,24573,28091
Marshall ,35294,28093
Monroe ,35252,28095
Montgomery ,9775,28097
Neshoba ,29118,28099
Newton ,21018,28101
Noxubee ,10417,28103
Oktibbeha ,49587,28105
Panola ,34192,28107
Pearl River ,55535,28109
Perry ,11973,28111
Pike ,39288,28113
Pontotoc ,32174,28115
Prentiss ,25126,28117
Quitman ,6792,28119
Rankin ,155271,28121
Scott ,28124,28123
Sharkey ,4321,28125
Simpson ,26658,28127
Smith ,15916,28129
Stone ,18336,28131
Sunflower ,25110,28133
Tallahatchie ,13809,28135
Tate ,28321,28137
Tippah ,22015,28139
Tishomingo ,19383,28141
Tunica ,9632,28143
Union ,28815,28145
Walthall ,14286,28147
Warren ,45381,28149
Washington ,43909,28151
Wayne ,20183,28153
Webster ,9689,28155
Wilkinson ,8630,28157
Winston ,17955,28159
Yalobusha ,12108,28161
Yazoo ,29690,28163
Adair ,25343,29001
Andrew ,17712,29003
Atchison ,5143,29005
Audrain ,25388,29007
Barry ,35789,29009
Barton ,11754,29011
Bates ,16172,29013
Benton ,19443,29015
Bollinger ,12133,29017
Boone ,180463,29019
Buchanan ,87364,29021
Butler ,42478,29023
Caldwell ,9020,29025
Callaway ,44743,29027
Camden ,46305,29029
Cape Girardeau ,78871,29031
Carroll ,8679,29033
Carter ,5982,29035
Cass ,105780,29037
Cedar ,14349,29039
Chariton ,7426,29041
Christian ,88595,29043
Clark ,6797,29045
Clay ,249948,29047
Clinton ,20387,29049
Cole ,76745,29051
Cooper ,17709,29053
Crawford ,23920,29055
Dade ,7561,29057
Dallas ,16878,29059
Daviess ,8278,29061
DeKalb ,12547,29063
Dent ,15573,29065
Douglas ,13185,29067
Dunklin ,29131,29069
Franklin ,103967,29071
Gasconade ,14706,29073
Gentry ,6571,29075
Greene ,293086,29077
Grundy ,9850,29079
Harrison ,8352,29081
Henry ,21824,29083
Hickory ,9544,29085
Holt ,4403,29087
Howard ,10001,29089
Howell ,40117,29091
Iron ,10125,29093
Jackson ,703011,29095
Jasper ,121328,29097
Jefferson ,225081,29099
Johnson ,54062,29101
Knox ,3959,29103
Laclede ,35723,29105
Lafayette ,32708,29107
Lawrence ,38355,29109
Lewis ,9776,29111
Lincoln ,59013,29113
Linn ,11920,29115
Livingston ,15227,29117
McDonald ,22837,29119
Macon ,15117,29121
Madison ,12088,29123
Maries ,8697,29125
Marion ,28530,29127
Mercer ,3617,29129
Miller ,25619,29131
Mississippi ,13180,29133
Moniteau ,16132,29135
Monroe ,8644,29137
Montgomery ,11551,29139
Morgan ,20627,29141
New Madrid ,17076,29143
Newton ,58236,29145
Nodaway ,22092,29147
Oregon ,10529,29149
Osage ,13615,29151
Ozark ,9174,29153
Pemiscot ,15805,29155
Perry ,19136,29157
Pettis ,42339,29159
Phelps ,44573,29161
Pike ,18302,29163
Platte ,104418,29165
Polk ,32149,29167
Pulaski ,52607,29169
Putnam ,4696,29171
Ralls ,10309,29173
Randolph ,24748,29175
Ray ,23018,29177
Reynolds ,6270,29179
Ripley ,13288,29181
St,402022,29183
St,9397,29185
Ste,17894,29186
St,67215,29187
St,994205,29189
Saline ,22761,29195
Schuyler ,4660,29197
Scotland ,4902,29199
Scott ,38280,29201
Shannon ,8166,29203
Shelby ,5930,29205
Stoddard ,29025,29207
Stone ,31952,29209
Sullivan ,6089,29211
Taney ,55928,29213
Texas ,25398,29215
Vernon ,20563,29217
Warren ,35649,29219
Washington ,24730,29221
Wayne ,12873,29223
Webster ,39592,29225
Worth ,2013,29227
Wright ,18289,29229
St,300576,29510
Beaverhead ,9453,30001
Big Horn ,13319,30003
Blaine ,6681,30005
Broadwater ,6237,30007
Carbon ,10725,30009
Carter ,1252,30011
Cascade ,81366,30013
Chouteau ,5635,30015
Custer ,11402,30017
Daniels ,1690,30019
Dawson ,8613,30021
Deer Lodge ,9140,30023
Fallon ,2846,30025
Fergus ,11050,30027
Flathead ,103806,30029
Gallatin ,114434,30031
Garfield ,1258,30033
Glacier ,13753,30035
Golden Valley ,821,30037
Granite ,3379,30039
Hill ,16484,30041
Jefferson ,12221,30043
Judith Basin ,2007,30045
Lake ,30458,30047
Lewis and Clark ,69432,30049
Liberty ,2337,30051
Lincoln ,19980,30053
McCone ,1664,30055
Madison ,8600,30057
Meagher ,1862,30059
Mineral ,4397,30061
Missoula ,119600,30063
Musselshell ,4633,30065
Park ,16606,30067
Petroleum ,487,30069
Phillips ,3954,30071
Pondera ,5911,30073
Powder River ,1682,30075
Powell ,6890,30077
Prairie ,1077,30079
Ravalli ,43806,30081
Richland ,10803,30083
Roosevelt ,11004,30085
Rosebud ,8937,30087
Sanders ,12113,30089
Sheridan ,3309,30091
Silver Bow ,34915,30093
Stillwater ,9642,30095
Sweet Grass ,3737,30097
Teton ,6147,30099
Toole ,4736,30101
Treasure ,696,30103
Valley ,7396,30105
Wheatland ,2126,30107
Wibaux ,969,30109
Yellowstone ,161300,30111
Adams ,31363,31001
Antelope ,6298,31003
Arthur ,463,31005
Banner ,745,31007
Blaine ,465,31009
Boone ,5192,31011
Box Butte ,10783,31013
Boyd ,1919,31015
Brown ,2955,31017
Buffalo ,49659,31019
Burt ,6459,31021
Butler ,8016,31023
Cass ,26248,31025
Cedar ,8402,31027
Chase ,3924,31029
Cherry ,5689,31031
Cheyenne ,8910,31033
Clay ,6203,31035
Colfax ,10709,31037
Cuming ,8846,31039
Custer ,10777,31041
Dakota ,20026,31043
Dawes ,8589,31045
Dawson ,23595,31047
Deuel ,1794,31049
Dixon ,5636,31051
Dodge ,36565,31053
Douglas ,571327,31055
Dundy ,1693,31057
Fillmore ,5462,31059
Franklin ,2979,31061
Frontier ,2627,31063
Furnas ,4676,31065
Gage ,21513,31067
Garden ,1837,31069
Garfield ,1969,31071
Gosper ,1990,31073
Grant ,623,31075
Greeley ,2356,31077
Hall ,61353,31079
Hamilton ,9324,31081
Harlan ,3380,31083
Hayes ,922,31085
Hitchcock ,2762,31087
Holt ,10067,31089
Hooker ,682,31091
Howard ,6445,31093
Jefferson ,7046,31095
Johnson ,5071,31097
Kearney ,6495,31099
Keith ,8034,31101
Keya Paha ,806,31103
Kimball ,3632,31105
Knox ,8332,31107
Lancaster ,319090,31109
Lincoln ,34914,31111
Logan ,748,31113
Loup ,664,31115
McPherson ,494,31117
Madison ,35099,31119
Merrick ,7755,31121
Morrill ,4642,31123
Nance ,3519,31125
Nemaha ,6972,31127
Nuckolls ,4148,31129
Otoe ,16012,31131
Pawnee ,2613,31133
Perkins ,2891,31135
Phelps ,9034,31137
Pierce ,7148,31139
Platte ,33470,31141
Polk ,5213,31143
Red Willow ,10724,31145
Richardson ,7865,31147
Rock ,1357,31149
Saline ,14224,31151
Sarpy ,187196,31153
Saunders ,21578,31155
Scotts Bluff ,35618,31157
Seward ,17284,31159
Sheridan ,5246,31161
Sherman ,3001,31163
Sioux ,1166,31165
Stanton ,5920,31167
Thayer ,5003,31169
Thomas ,722,31171
Thurston ,7224,31173
Valley ,4158,31175
Washington ,20729,31177
Wayne ,9385,31179
Webster ,3487,31181
Wheeler ,783,31183
York ,13679,31185
Churchill ,24909,32001
Clark ,2266715,32003
Douglas ,48905,32005
Elko ,52778,32007
Esmeralda ,873,32009
Eureka ,2029,32011
Humboldt ,16831,32013
Lander ,5532,32015
Lincoln ,5183,32017
Lyon ,57510,32019
Mineral ,4505,32021
Nye ,46523,32023
Pershing ,6725,32027
Storey ,4123,32029
Washoe ,471519,32031
White Pine ,9580,32033
Carson City,55916,32510
Belknap ,61303,33001
Carroll ,48910,33003
Cheshire ,76085,33005
Coos ,31563,33007
Grafton ,89886,33009
Hillsborough ,417025,33011
Merrimack ,151391,33013
Rockingham ,309769,33015
Strafford ,130633,33017
Sullivan ,43146,33019
Atlantic ,263670,34001
Bergen ,932202,34003
Burlington ,445349,34005
Camden ,506471,34007
Cape May ,92039,34009
Cumberland ,149527,34011
Essex ,798975,34013
Gloucester ,291636,34015
Hudson ,672391,34017
Hunterdon ,124371,34019
Mercer ,367430,34021
Middlesex ,825062,34023
Monmouth ,618795,34025
Morris ,491845,34027
Ocean ,607186,34029
Passaic ,501826,34031
Salem ,62385,34033
Somerset ,328934,34035
Sussex ,140488,34037
Union ,556341,34039
Warren ,105267,34041
Bernalillo ,679121,35001
Catron ,3527,35003
Chaves ,64615,35005
Cibola ,26675,35006
Colfax ,11941,35007
Curry ,48954,35009
De Baca ,1748,35011
Doña Ana ,218195,35013
Eddy ,58460,35015
Grant ,26998,35017
Guadalupe ,4300,35019
Harding ,625,35021
Hidalgo ,4198,35023
Lea ,71070,35025
Lincoln ,19572,35027
Los Alamos ,19369,35028
Luna ,23709,35029
McKinley ,71367,35031
Mora ,4521,35033
Otero ,67490,35035
Quay ,8253,35037
Rio Arriba ,38921,35039
Roosevelt ,18500,35041
Sandoval ,146748,35043
San Juan ,123958,35045
San Miguel ,27277,35047
Santa Fe ,150358,35049
Sierra ,10791,35051
Socorro ,16637,35053
Taos ,32723,35055
Torrance ,15461,35057
Union ,4059,35059
Valencia ,76688,35061
Albany ,305506,36001
Allegany ,46091,36003
Bronx ,1418207,36005
Broome ,190488,36007
Cattaraugus ,76117,36009
Cayuga ,76576,36011
Chautauqua ,126903,36013
Chemung ,83456,36015
Chenango ,47207,36017
Clinton ,80485,36019
Columbia ,59461,36021
Cortland ,47581,36023
Delaware ,44135,36025
Dutchess ,294218,36027
Erie ,918702,36029
Essex ,36885,36031
Franklin ,50022,36033
Fulton ,53383,36035
Genesee ,57280,36037
Greene ,47188,36039
Hamilton ,4416,36041
Herkimer ,61319,36043
Jefferson ,109834,36045
Kings ,2559903,36047
Lewis ,26296,36049
Livingston ,62914,36051
Madison ,70941,36053
Monroe ,741770,36055
Montgomery ,49221,36057
Nassau ,1356924,36059
New York ,1628706,36061
Niagara ,209281,36063
Oneida ,228671,36065
Onondaga ,460528,36067
Ontario ,109777,36069
Orange ,384940,36071
Orleans ,40352,36073
Oswego ,117124,36075
Otsego ,59493,36077
Putnam ,98320,36079
Queens ,2253858,36081
Rensselaer ,158714,36083
Richmond ,476143,36085
Rockland ,325789,36087
St,107740,36089
Saratoga ,229863,36091
Schenectady ,155299,36093
Schoharie ,30999,36095
Schuyler ,17807,36097
Seneca ,34016,36099
Steuben ,95379,36101
Suffolk ,1476601,36103
Sullivan ,75432,36105
Tioga ,48203,36107
Tompkins ,102180,36109
Ulster ,177573,36111
Warren ,63944,36113
Washington ,61204,36115
Wayne ,89918,36117
Westchester ,967506,36119
Wyoming ,39859,36121
Yates ,24913,36123
Alamance ,169509,37001
Alexander ,37497,37003
Alleghany ,11137,37005
Anson ,24446,37007
Ashe ,27203,37009
Avery ,17557,37011
Beaufort ,46994,37013
Bertie ,18947,37015
Bladen ,32722,37017
Brunswick ,142820,37019
Buncombe ,261191,37021
Burke ,90485,37023
Cabarrus ,216453,37025
Caldwell ,82178,37027
Camden ,10867,37029
Carteret ,69473,37031
Caswell ,22604,37033
Catawba ,159551,37035
Chatham ,74470,37037
Cherokee ,28612,37039
Chowan ,13943,37041
Clay ,11231,37043
Cleveland ,97947,37045
Columbus ,55508,37047
Craven ,102139,37049
Cumberland ,335509,37051
Currituck ,27763,37053
Dare ,37009,37055
Davidson ,167609,37057
Davie ,42846,37059
Duplin ,58741,37061
Durham ,321488,37063
Edgecombe ,51472,37065
Forsyth ,382295,37067
Franklin ,69685,37069
Gaston ,224529,37071
Gates ,11562,37073
Graham ,8441,37075
Granville ,60443,37077
Greene ,21069,37079
Guilford ,537174,37081
Halifax ,50010,37083
Harnett ,135976,37085
Haywood ,62317,37087
Henderson ,117417,37089
Hertford ,23677,37091
Hoke ,55234,37093
Hyde ,4937,37095
Iredell ,181806,37097
Jackson ,43938,37099
Johnston ,209339,37101
Jones ,9419,37103
Lee ,61779,37105
Lenoir ,55949,37107
Lincoln ,86111,37109
McDowell ,45756,37111
Macon ,35858,37113
Madison ,21755,37115
Martin ,22440,37117
Mecklenburg ,1110356,37119
Mitchell ,14964,37121
Montgomery ,27173,37123
Moore ,100880,37125
Nash ,94298,37127
New Hanover ,234473,37129
Northampton ,19483,37131
Onslow ,197938,37133
Orange ,148476,37135
Pamlico ,12726,37137
Pasquotank ,39824,37139
Pender ,63060,37141
Perquimans ,13463,37143
Person ,39490,37145
Pitt ,180742,37147
Polk ,20724,37149
Randolph ,143667,37151
Richmond ,44829,37153
Robeson ,130625,37155
Rockingham ,91010,37157
Rowan ,142088,37159
Rutherford ,67029,37161
Sampson ,63531,37163
Scotland ,34823,37165
Stanly ,62806,37167
Stokes ,45591,37169
Surry ,71783,37171
Swain ,14271,37173
Transylvania ,34385,37175
Tyrrell ,4016,37177
Union ,239859,37179
Vance ,44535,37181
Wake ,1111761,37183
Warren ,19731,37185
Washington ,11580,37187
Watauga ,56177,37189
Wayne ,123131,37191
Wilkes ,68412,37193
Wilson ,81801,37195
Yadkin ,37667,37197
Yancey ,18069,37199
Adams ,2216,38001
Barnes ,10415,38003
Benson ,6832,38005
Billings ,928,38007
 North Dakota,6282,38009
Bowman ,3024,38011
Burke ,2115,38013
Burleigh ,95626,38015
Cass ,181923,38017
Cavalier ,3762,38019
Dickey ,4872,38021
Divide ,2264,38023
Dunn ,4424,38025
Eddy ,2287,38027
Emmons ,3241,38029
Foster ,3210,38031
Golden Valley ,1761,38033
Grand Forks ,69451,38035
Grant ,2274,38037
Griggs ,2231,38039
Hettinger ,2499,38041
Kidder ,2480,38043
LaMoure ,4046,38045
Logan ,1850,38047
McHenry ,5745,38049
McIntosh ,2497,38051
McKenzie ,15024,38053
McLean ,9450,38055
Mercer ,8187,38057
Morton ,31364,38059
Mountrail ,10545,38061
Nelson ,2879,38063
Oliver ,1959,38065
Pembina ,6801,38067
Pierce ,3975,38069
Ramsey ,11519,38071
Ransom ,5218,38073
Renville ,2327,38075
Richland ,16177,38077
Rolette ,14176,38079
Sargent ,3898,38081
Sheridan ,1315,38083
Sioux ,4230,38085
Slope ,750,38087
Stark ,31489,38089
Steele ,1890,38091
Stutsman ,20704,38093
Towner ,2189,38095
Traill ,8036,38097
Walsh ,10641,38099
Ward ,67641,38101
Wells ,3834,38103
Williams ,37589,38105
Adams ,27698,39001
Allen ,102351,39003
Ashland ,53484,39005
Ashtabula ,97241,39007
Athens ,65327,39009
Auglaize ,45656,39011
Belmont ,67006,39013
Brown ,43432,39015
Butler ,383134,39017
Carroll ,26914,39019
Champaign ,38885,39021
Clark ,134083,39023
Clermont ,206428,39025
Clinton ,41968,39027
Columbiana ,101883,39029
Coshocton ,36600,39031
Crawford ,41494,39033
Cuyahoga ,1235072,39035
Darke ,51113,39037
Defiance ,38087,39039
Delaware ,209177,39041
Erie ,74266,39043
Fairfield ,157574,39045
Fayette ,28525,39047
Franklin ,1316756,39049
Fulton ,42126,39051
Gallia ,29898,39053
Geauga ,93649,39055
Greene ,168937,39057
Guernsey ,38875,39059
Hamilton ,817473,39061
Hancock ,75783,39063
Hardin ,31365,39065
Harrison ,15040,39067
Henry ,27006,39069
Highland ,43161,39071
Hocking ,28264,39073
Holmes ,43960,39075
Huron ,58266,39077
Jackson ,32413,39079
Jefferson ,65325,39081
Knox ,62322,39083
Lake ,230149,39085
Lawrence ,59463,39087
Licking ,176862,39089
Logan ,45672,39091
Lorain ,309833,39093
Lucas ,428348,39095
Madison ,44731,39097
Mahoning ,228683,39099
Marion ,65093,39101
Medina ,179746,39103
Meigs ,22907,39105
Mercer ,41172,39107
Miami ,106987,39109
Monroe ,13654,39111
Montgomery ,531687,39113
Morgan ,14508,39115
Morrow ,35328,39117
Muskingum ,86215,39119
Noble ,14424,39121
Ottawa ,40525,39123
Paulding ,18672,39125
Perry ,36134,39127
Pickaway ,58457,39129
Pike ,27772,39131
Portage ,162466,39133
Preble ,40882,39135
Putnam ,33861,39137
Richland ,121154,39139
Ross ,76666,39141
Sandusky ,58518,39143
Scioto ,75314,39145
Seneca ,55178,39147
Shelby ,48590,39149
Stark ,370606,39151
Summit ,541013,39153
Trumbull ,197974,39155
Tuscarawas ,91987,39157
Union ,58988,39159
Van Wert ,28275,39161
Vinton ,13085,39163
Warren ,234602,39165
Washington ,59911,39167
Wayne ,115710,39169
Williams ,36692,39171
Wood ,130817,39173
Wyandot ,21772,39175
Adair ,22194,40001
Alfalfa ,5702,40003
Atoka ,13758,40005
Beaver ,5311,40007
Beckham ,21859,40009
Blaine ,9429,40011
Bryan ,47995,40013
Caddo ,28762,40015
Canadian ,148306,40017
Carter ,48111,40019
Cherokee ,48657,40021
Choctaw ,14672,40023
Cimarron ,2137,40025
Cleveland ,284014,40027
Coal ,5495,40029
Comanche ,120749,40031
Cotton ,5666,40033
Craig ,14142,40035
Creek ,71522,40037
Custer ,29003,40039
Delaware ,43009,40041
Dewey ,4891,40043
Ellis ,3859,40045
Garfield ,61056,40047
Garvin ,27711,40049
Grady ,55834,40051
Grant ,4333,40053
Greer ,5712,40055
Harmon ,2653,40057
Harper ,3688,40059
Haskell ,12627,40061
Hughes ,13279,40063
Jackson ,24530,40065
Jefferson ,6002,40067
Johnston ,11085,40069
Kay ,43538,40071
Kingfisher ,15765,40073
Kiowa ,8708,40075
Latimer ,10073,40077
Le Flore ,49853,40079
Lincoln ,34877,40081
Logan ,48011,40083
Love ,10253,40085
McClain ,40474,40087
McCurtain ,32832,40089
McIntosh ,19596,40091
Major ,7629,40093
Marshall ,16931,40095
Mayes ,41100,40097
Murray ,14073,40099
Muskogee ,67997,40101
Noble ,11131,40103
Nowata ,10076,40105
Okfuskee ,11993,40107
Oklahoma ,797434,40109
Okmulgee ,38465,40111
Osage ,46963,40113
Ottawa ,31127,40115
Pawnee ,16376,40117
Payne ,81784,40119
Pittsburg ,43654,40121
Pontotoc ,38284,40123
Pottawatomie ,72592,40125
Pushmataha ,11096,40127
Roger Mills ,3583,40129
Rogers ,92459,40131
Seminole ,24258,40133
Sequoyah ,41569,40135
Stephens ,43143,40137
Texas ,19983,40139
Tillman ,7250,40141
Tulsa ,651552,40143
Wagoner ,81289,40145
Washington ,51527,40147
Washita ,10916,40149
Woods ,8793,40151
Woodward ,20211,40153
Baker ,16124,41001
Benton ,93053,41003
Clackamas ,418187,41005
Clatsop ,40224,41007
Columbia ,52354,41009
Coos ,64487,41011
Crook ,24404,41013
Curry ,22925,41015
Deschutes ,197692,41017
Douglas ,110980,41019
Gilliam ,1912,41021
Grant ,7199,41023
Harney ,7393,41025
Hood River ,23382,41027
Jackson ,220944,41029
Jefferson ,24658,41031
Josephine ,87487,41033
Klamath ,68238,41035
Lake ,7869,41037
Lane ,382067,41039
Lincoln ,49962,41041
Linn ,129749,41043
Malheur ,30571,41045
Marion ,347818,41047
Morrow ,11603,41049
Multnomah ,812855,41051
Polk ,86085,41053
Sherman ,1780,41055
Tillamook ,27036,41057
Umatilla ,77950,41059
Union ,26835,41061
Wallowa ,7208,41063
Wasco ,26682,41065
Washington ,601592,41067
Wheeler ,1332,41069
Yamhill ,107100,41071
Adams ,103009,42001
Allegheny ,1216045,42003
Armstrong ,64735,42005
Beaver ,163929,42007
Bedford ,47888,42009
Berks ,421164,42011
Blair ,121829,42013
Bradford ,60323,42015
Bucks ,628270,42017
Butler ,187853,42019
Cambria ,130192,42021
Cameron ,4447,42023
Carbon ,64182,42025
Centre ,162385,42027
Chester ,524989,42029
Clarion ,38438,42031
Clearfield ,79255,42033
Clinton ,38632,42035
Columbia ,64964,42037
Crawford ,84629,42039
Cumberland ,253370,42041
Dauphin ,278299,42043
Delaware ,566747,42045
Elk ,29910,42047
Erie ,269728,42049
Fayette ,129274,42051
Forest ,7247,42053
Franklin ,155027,42055
Fulton ,14530,42057
Greene ,36233,42059
Huntingdon ,45144,42061
Indiana ,84073,42063
Jefferson ,43425,42065
Juniata ,24763,42067
Lackawanna ,209674,42069
Lancaster ,545724,42071
Lawrence ,85512,42073
Lebanon ,141793,42075
Lehigh ,369318,42077
Luzerne ,317417,42079
Lycoming ,113299,42081
McKean ,40625,42083
Mercer ,109424,42085
Mifflin ,46138,42087
Monroe ,170271,42089
Montgomery ,830915,42091
Montour ,18230,42093
Northampton ,305285,42095
Northumberland ,90843,42097
